index,quality
0,5
1,5
2,5
3,5
4,6
5,5
6,5
7,5
8,5
9,6
10,6
11,5
12,6
13,5
14,5
15,5
16,5
17,6
18,5
19,5
20,6
21,6
22,5
23,6
24,5
25,4
26,4
27,5
28,4
29,5
30,7
31,5
32,4
33,5
34,5
35,6
36,5
37,5
38,6
39,6
40,6
41,5
42,6
43,5
44,6
45,6
46,5
47,5
48,4
49,5
50,5
51,5
52,5
53,4
54,4
55,5
56,6
57,5
58,5
59,6
60,5
61,6
62,5
63,4
64,6
65,5
66,5
67,5
68,6
69,5
70,5
71,5
72,4
73,5
74,6
75,5
76,5
77,6
78,6
79,6
80,5
81,5
82,5
83,5
84,6
85,5
86,5
87,5
88,6
89,6
90,6
91,6
92,5
93,6
94,5
95,6
96,6
97,5
98,6
99,6
100,5
101,5
102,5
103,5
104,5
105,5
106,5
107,5
108,6
109,5
110,6
111,6
112,6
113,5
114,5
115,5
116,5
117,6
118,6
119,6
120,7
121,5
122,6
123,6
124,5
125,5
126,5
127,6
128,5
129,6
130,5
131,5
132,4
133,5
134,5
135,5
136,5
137,6
138,4
139,4
140,5
141,5
142,5
143,5
144,5
145,5
146,6
147,5
148,5
149,6
150,5
151,7
152,5
153,5
154,5
155,5
156,5
157,5
158,5
159,4
160,5
161,5
162,5
163,6
164,5
165,5
166,5
167,6
168,5
169,5
170,5
171,5
172,6
173,5
174,5
175,5
176,6
177,5
178,5
179,5
180,5
181,5
182,6
183,6
184,5
185,5
186,6
187,5
188,5
189,5
190,5
191,5
192,5
193,5
194,5
195,6
196,6
197,5
198,5
199,4
200,5
201,5
202,5
203,5
204,6
205,5
206,5
207,5
208,5
209,6
210,7
211,5
212,5
213,5
214,5
215,4
216,5
217,5
218,5
219,5
220,5
221,5
222,6
223,6
224,6
225,5
226,5
227,5
228,6
229,5
230,6
231,6
232,6
233,6
234,5
235,5
236,5
237,5
238,6
239,6
240,6
241,5
242,6
243,5
244,6
245,6
246,5
247,6
248,5
249,6
250,5
251,6
252,6
253,6
254,6
255,5
256,5
257,6
258,6
259,5
260,5
261,5
262,5
263,7
264,5
265,5
266,5
267,5
268,5
269,6
270,6
271,5
272,5
273,5
274,5
275,5
276,6
277,7
278,5
279,5
280,5
281,6
282,6
283,5
284,6
285,6
286,5
287,6
288,5
289,5
290,5
291,5
292,4
293,5
294,5
295,6
296,8
297,5
298,5
299,6
300,6
301,5
302,5
303,5
304,6
305,6
306,5
307,6
308,5
309,5
310,5
311,5
312,5
313,5
314,5
315,6
316,5
317,4
318,5
319,6
320,5
321,5
322,5
323,5
324,4
325,5
326,4
327,6
328,6
329,5
330,5
331,6
332,6
333,5
334,5
335,6
336,5
337,5
338,6
339,5
340,5
341,5
342,5
343,4
344,5
345,6
346,5
347,6
348,5
349,5
350,5
351,5
352,5
353,5
354,6
355,5
356,5
357,5
358,5
359,6
360,5
361,5
362,5
363,6
364,6
365,6
366,5
367,4
368,6
369,5
370,6
371,5
372,5
373,5
374,6
375,5
376,5
377,6
378,5
379,5
380,6
381,6
382,6
383,6
384,5
385,6
386,6
387,5
388,6
389,5
390,6
391,5
392,7
393,5
394,4
395,5
396,5
397,6
398,6
399,5
400,6
401,5
402,6
403,6
404,6
405,4
406,4
407,5
408,6
409,5
410,6
411,4
412,5
413,5
414,5
415,6
416,5
417,6
418,4
419,5
420,6
421,6
422,5
423,5
424,5
425,5
426,6
427,5
428,5
429,5
430,6
431,5
432,5
433,6
434,6
435,5
436,6
437,4
438,5
439,5
440,5
441,6
442,5
443,5
444,6
445,6
446,5
447,5
448,4
449,5
450,5
451,6
452,5
453,6
454,5
455,5
456,6
457,5
458,5
459,4
460,5
461,6
462,5
463,5
464,5
465,5
466,5
467,5
468,6
469,5
470,5
471,5
472,5
473,5
474,4
475,6
476,6
477,7
478,6
479,5
480,6
481,7
482,5
483,5
484,7
485,5
486,5
487,6
488,5
489,5
490,6
491,6
492,5
493,6
494,4
495,6
496,5
497,5
498,5
499,6
500,6
501,5
502,6
503,6
504,6
505,5
506,6
507,6
508,6
509,6
510,5
511,5
512,5
513,5
514,6
515,5
516,5
517,6
518,6
519,5
520,5
521,5
522,5
523,6
524,5
525,4
526,6
527,6
528,5
529,6
530,5
531,5
532,6
533,5
534,5
535,6
536,6
537,5
538,4
539,5
540,5
541,5
542,6
543,5
544,6
545,6
546,5
547,5
548,5
549,5
550,5
551,6
552,6
553,6
554,5
555,5
556,5
557,5
558,5
559,5
560,5
561,5
562,5
563,5
564,6
565,6
